epoch,train_loss,val_loss,val_dice,val_iou
1,1.588473,1.473794,0.597222,0.597222
2,1.540376,1.413908,0.597222,0.597222
3,1.529316,1.420808,0.597222,0.597222
4,1.464164,1.387044,0.597222,0.597222
5,3.538731,1.439658,0.597222,0.597222
6,1.620752,1.437091,0.597222,0.597222
7,1.553492,1.459632,0.597222,0.597222
8,1.646603,1.450829,0.597222,0.597222
9,1.540421,1.436591,0.597222,0.597222
10,1.542053,1.444708,0.597222,0.597222
11,1.541550,1.441138,0.597222,0.597222
12,1.541601,1.435429,0.597222,0.597222
13,1.539225,1.436596,0.597222,0.597222
14,1.538556,1.445848,0.597222,0.597222
15,1.543777,1.433114,0.597222,0.597222
16,1.543867,1.441258,0.597222,0.597222
17,1.545862,1.430855,0.597222,0.597222
18,1.532643,1.444580,0.597222,0.597222
19,1.545400,1.427173,0.597222,0.597222
20,1.534197,1.445887,0.597222,0.597222
21,1.530596,1.422118,0.597222,0.597222
22,1.530071,1.431958,0.597222,0.597222
23,1.529000,1.433969,0.597222,0.597222
24,1.530826,1.420414,0.597222,0.597222
25,1.521729,1.414350,0.597222,0.597222
26,1.518810,1.415189,0.597222,0.597222
27,1.517809,1.404032,0.597222,0.597222
28,1.506459,1.400271,0.597222,0.597222
29,1.524777,1.442098,0.597222,0.597222
30,1.517274,1.398283,0.597222,0.597222
31,1.482143,1.354115,0.640804,0.624039
32,1.420759,1.201398,0.756254,0.693962
33,1.340310,1.214209,0.743520,0.695241
34,1.459388,1.415186,0.821000,0.760232
35,2.290961,17.535049,0.597222,0.597222
36,2.227616,1.416154,0.674194,0.645002
37,2.893376,1.544815,0.597222,0.597222
38,1.663799,1.393899,0.684707,0.652741
39,1.639631,1.244461,0.783038,0.718781
40,1.192362,0.915331,0.805995,0.750092
41,1.013901,0.737408,0.828934,0.773270
42,1.028948,1.760535,0.664268,0.641676
43,1.304170,0.928846,0.299350,0.236042
44,1.147543,1.403096,0.623124,0.611443
45,1.395704,1.051905,0.792754,0.729339
46,1.019852,0.786542,0.295204,0.230430
47,0.847294,0.742967,0.356577,0.291665
48,0.898377,0.838239,0.256023,0.194160
49,0.928630,0.821605,0.262353,0.199266
50,0.864899,0.775224,0.313668,0.247932
51,0.825593,0.717195,0.384040,0.322253
52,0.811165,0.693862,0.445402,0.387724
53,0.788156,0.726462,0.362754,0.297687
54,0.780481,0.671750,0.845593,0.795303
55,0.767562,0.693490,0.909315,0.865704
56,0.765169,0.685446,0.399063,0.341377
57,0.791178,0.730226,0.310418,0.245921
58,0.784487,0.680594,0.407890,0.353985
59,0.765032,0.707968,0.480265,0.421702
60,0.723866,0.631411,0.912923,0.880449
61,0.716281,0.623954,0.894279,0.853198
62,0.716325,0.620850,0.895787,0.853449
63,0.702140,0.855066,0.399391,0.340045
64,0.719738,0.631862,0.863203,0.815621
65,0.713935,0.617376,0.877839,0.837013
66,0.718231,0.617809,0.893662,0.861951
67,0.674479,0.593714,0.922879,0.895428
68,0.666292,0.602761,0.923518,0.897735
69,0.666264,0.598505,0.924014,0.897349
70,0.663457,0.591022,0.951966,0.929997
71,0.654856,0.589746,0.931333,0.908984
72,0.651814,0.587921,0.926859,0.901712
73,0.654940,0.586345,0.952732,0.930670
74,0.658670,0.585817,0.931893,0.910011
75,0.674599,0.619586,0.942465,0.916839
76,0.665786,0.582181,0.951979,0.929107
77,0.646621,0.578925,0.952031,0.929236
78,0.654318,0.583385,0.948100,0.923058
79,0.645256,0.577839,0.954536,0.933187
80,0.670933,0.601994,0.923049,0.896835
81,0.676970,0.597002,0.914716,0.881025
82,0.653102,0.591159,0.918452,0.887505
83,0.643259,0.579944,0.957257,0.938194
84,0.639260,0.593702,0.951244,0.928978
85,1.842199,1.654352,0.613585,0.606563
86,1.699712,1.643439,0.597222,0.597222
87,1.681332,1.628020,0.597222,0.597222
88,1.668432,1.614892,0.597222,0.597222
89,1.657728,1.602426,0.597222,0.597222
90,1.647944,1.591511,0.597222,0.597222
91,1.639074,1.582435,0.597222,0.597222
92,1.631472,1.573846,0.597222,0.597222
93,1.624633,1.565724,0.597222,0.597222
94,1.618521,1.557994,0.597222,0.597222
95,1.612596,1.551420,0.597222,0.597222
96,1.607189,1.545964,0.597222,0.597222
97,1.602787,1.539854,0.597222,0.597222
98,1.598144,1.534877,0.597222,0.597222
99,1.594261,1.529805,0.597222,0.597222
100,1.590477,1.525330,0.597222,0.597222
